,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.6813385,0.6450508,0.6417554,0.62301284,0.3570388,0.3739965,0.3181718,0.34640634,0.6477016,0.6579055,0.36035448,0.3692854,0.67888206,0.6494386,0.348632,0.3630581
1,0.83290106,0.78763956,0.7493916,0.74934846,0.22139764,0.2718438,0.1707979,0.22199653,0.8066552,0.80384284,0.21406884,0.22267738,0.83927286,0.8033486,0.1969313,0.23025589
2,0.9474951,0.9126883,0.87429756,0.87593806,0.099937834,0.14027774,0.054599058,0.09218964,0.9417647,0.93219984,0.09111509,0.080898926,0.9583479,0.93656516,0.070827626,0.097826466
3,0.9877929,0.969388,0.9432942,0.95107156,0.036022197,0.06349977,0.013089941,0.030485561,0.9854096,0.9818764,0.029614473,0.025114965,0.9924321,0.9837854,0.019520052,0.03096547
4,0.99557036,0.98679024,0.9678977,0.97349995,0.0178255,0.03728204,0.0049134633,0.014568675,0.99439913,0.9926755,0.013701884,0.011740124,0.99745053,0.9934649,0.008610051,0.014169476
5,0.99601495,0.9877544,0.9697211,0.97558177,0.017013054,0.03564923,0.004467163,0.013582822,0.99500114,0.99342597,0.013021562,0.010913043,0.9977526,0.99400276,0.008171972,0.01290356
6,0.9960807,0.9878962,0.97000396,0.97589827,0.016910758,0.035363518,0.0044050855,0.013432822,0.9950897,0.9935377,0.012907873,0.01079993,0.9977968,0.99408394,0.008099846,0.012703921
7,0.99609405,0.98792404,0.9700678,0.97595745,0.01689225,0.035305988,0.004391809,0.013397097,0.9951067,0.99356127,0.01288665,0.010781812,0.9978059,0.9940989,0.008086365,0.012664693
8,0.99609655,0.9879291,0.97008,0.975968,0.016889274,0.035295103,0.004389341,0.01339024,0.99510974,0.9935655,0.01288292,0.010778795,0.9978077,0.99410146,0.008084005,0.012657427
9,0.996097,0.98793006,0.9700824,0.97597003,0.016888719,0.035293225,0.004388864,0.013388837,0.99511033,0.99356645,0.012882265,0.010778291,0.9978079,0.99410194,0.0080835875,0.012656109
10,0.99609715,0.9879303,0.9700832,0.9759704,0.016888482,0.035292797,0.004388695,0.0133883,0.99511045,0.9935667,0.0128821,0.010778226,0.99780804,0.99410206,0.008083485,0.012655818
11,0.99609727,0.9879303,0.9700834,0.9759705,0.016888386,0.035292722,0.004388639,0.013388106,0.9951106,0.9935668,0.012882077,0.010778215,0.99780804,0.9941022,0.008083462,0.012655776
12,0.99609727,0.9879304,0.9700834,0.9759705,0.01688837,0.035292722,0.0043886285,0.013388074,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
13,0.99609727,0.9879304,0.97008353,0.9759705,0.016888354,0.035292715,0.004388622,0.013388049,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655771
14,0.99609727,0.9879304,0.97008353,0.9759705,0.01688834,0.035292733,0.004388618,0.013388037,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
15,0.99609727,0.9879304,0.97008353,0.9759705,0.01688834,0.035292737,0.004388616,0.013388023,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
16,0.99609727,0.9879304,0.97008353,0.9759705,0.01688834,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
17,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
18,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
19,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
20,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
21,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
22,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
23,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
24,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
25,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
26,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
27,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
28,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
29,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
30,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
31,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
32,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
33,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
34,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
35,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
36,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
37,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
38,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
39,0.99609727,0.9879304,0.97008353,0.9759705,0.016888332,0.035292737,0.0043886136,0.013388018,0.9951106,0.9935668,0.012882077,0.010778215,0.99780816,0.9941022,0.008083458,0.012655776
